Tabelle: 61111-0002
Verbraucherpreisindex: Deutschland, Monate;;;;
Verbraucherpreisindex für Deutschland;;;;;;;
Deutschland;;;;;;;
;;Verbraucherpreisindex;;Veränderung zum Vorjahresmonat;;Veränderung zum Vormonat;
;;2020=100;2020=100;in (%);in (%);in (%);in (%)
1991;Januar;60,5;e;.;;.;
;Februar;60,8;e;.;;0,5;e
;März;60,8;e;.;;-;
;April;61,0;e;.;;0,3;e
;Mai;61,1;e;.;;0,2;e
;Juni;61,5;e;.;;0,7;e
;Juli;62,2;e;.;;1,1;e
;August;62,2;e;.;;-;
;September;62,2;e;.;;-;
;Oktober;63,2;e;.;;1,6;e
;November;63,4;e;.;;0,3;e
;Dezember;63,5;e;.;;0,2;e
1992;Januar;63,9;e;5,6;e;0,6;e
;Februar;64,3;e;5,8;e;0,6;e
;März;64,5;e;6,1;e;0,3;e
;April;64,7;e;6,1;e;0,3;e
;Mai;64,9;e;6,2;e;0,3;e
;Juni;65,1;e;5,9;e;0,3;e
;Juli;65,3;e;5,0;e;0,3;e
;August;65,3;e;5,0;e;-;
;September;65,3;e;5,0;e;-;
;Oktober;65,3;e;3,3;e;-;
;November;65,6;e;3,5;e;0,5;e
;Dezember;65,7;e;3,5;e;0,2;e
1993;Januar;66,8;e;4,5;e;1,7;e
;Februar;67,3;e;4,7;e;0,7;e
;März;67,5;e;4,7;e;0,3;e
;April;67,7;e;4,6;e;0,3;e
;Mai;67,8;e;4,5;e;0,1;e
;Juni;68,0;e;4,5;e;0,3;e
;Juli;68,3;e;4,6;e;0,4;e
;August;68,3;e;4,6;e;-;
;September;68,2;e;4,4;e;-0,1;e
;Oktober;68,2;e;4,4;e;-;
;November;68,3;e;4,1;e;0,1;e
;Dezember;68,5;e;4,3;e;0,3;e
1994;Januar;68,8;e;3,0;e;0,4;e
;Februar;69,4;e;3,1;e;0,9;e
;März;69,5;e;3,0;e;0,1;e
;April;69,6;e;2,8;e;0,1;e
;Mai;69,7;e;2,8;e;0,1;e
;Juni;69,8;e;2,6;e;0,1;e
;Juli;69,9;e;2,3;e;0,1;e
;August;70,1;e;2,6;e;0,3;e
;September;69,9;e;2,5;e;-0,3;e
;Oktober;69,8;e;2,3;e;-0,1;e
;November;69,9;e;2,3;e;0,1;e
;Dezember;70,1;e;2,3;e;0,3;e
1995;Januar;70,4;e;2,3;e;0,4;e
;Februar;70,8;e;2,0;e;0,6;e
;März;70,8;e;1,9;e;-;
;April;70,9;e;1,9;e;0,1;e
;Mai;70,9;e;1,7;e;-;
;Juni;71,0;e;1,7;e;0,1;e
;Juli;71,2;e;1,9;e;0,3;e
;August;71,2;e;1,6;e;-;
;September;71,2;e;1,9;e;-;
;Oktober;71,0;e;1,7;e;-0,3;e
;November;71,0;e;1,6;e;-;
;Dezember;71,2;e;1,6;e;0,3;e
1996;Januar;71,4;e;1,4;e;0,3;e
;Februar;71,8;e;1,4;e;0,6;e
;März;71,8;e;1,4;e;-;
;April;71,8;e;1,3;e;-;
;Mai;71,9;e;1,4;e;0,1;e
;Juni;72,0;e;1,4;e;0,1;e
;Juli;72,1;e;1,3;e;0,1;e
;August;72,1;e;1,3;e;-;
;September;72,1;e;1,3;e;-;
;Oktober;72,1;e;1,5;e;-;
;November;72,0;e;1,4;e;-0,1;e
;Dezember;72,3;e;1,5;e;0,4;e
1997;Januar;72,9;e;2,1;e;0,8;e
;Februar;73,0;e;1,7;e;0,1;e
;März;73,0;e;1,7;e;-;
;April;72,9;e;1,5;e;-0,1;e
;Mai;73,1;e;1,7;e;0,3;e
;Juni;73,1;e;1,5;e;-;
;Juli;73,8;e;2,4;e;1,0;e
;August;73,8;e;2,4;e;-;
;September;73,7;e;2,2;e;-0,1;e
;Oktober;73,6;e;2,1;e;-0,1;e
;November;73,6;e;2,2;e;-;
;Dezember;73,8;e;2,1;e;0,3;e
1998;Januar;73,8;e;1,2;e;-;
;Februar;73,9;e;1,2;e;0,1;e
;März;73,8;e;1,1;e;-0,1;e
;April;73,9;e;1,4;e;0,1;e
;Mai;74,0;e;1,2;e;0,1;e
;Juni;74,1;e;1,4;e;0,1;e
;Juli;74,4;e;0,8;e;0,4;e
;August;74,2;e;0,5;e;-0,3;e
;September;74,0;e;0,4;e;-0,3;e
;Oktober;73,9;e;0,4;e;-0,1;e
;November;73,9;e;0,4;e;-;
;Dezember;74,0;e;0,3;e;0,1;e
1999;Januar;73,9;e;0,1;e;-0,1;e
;Februar;74,0;e;0,1;e;0,1;e
;März;74,0;e;0,3;e;-;
;April;74,4;e;0,7;e;0,5;e
;Mai;74,4;e;0,5;e;-;
;Juni;74,5;e;0,5;e;0,1;e
;Juli;74,8;e;0,5;e;0,4;e
;August;74,8;e;0,8;e;-;
;September;74,6;e;0,8;e;-0,3;e
;Oktober;74,5;e;0,8;e;-0,1;e
;November;74,7;e;1,1;e;0,3;e
;Dezember;74,9;e;1,2;e;0,3;e
2000;Januar;75,1;e;1,6;e;0,3;e
;Februar;75,1;e;1,5;e;-;
;März;75,1;e;1,5;e;-;
;April;75,1;e;0,9;e;-;
;Mai;75,1;e;0,9;e;-;
;Juni;75,4;e;1,2;e;0,4;e
;Juli;75,8;e;1,3;e;0,5;e
;August;75,6;e;1,1;e;-0,3;e
;September;75,8;e;1,6;e;0,3;e
;Oktober;75,7;e;1,6;e;-0,1;e
;November;75,8;e;1,5;e;0,1;e
;Dezember;76,4;e;2,0;e;0,8;e
2001;Januar;76,2;e;1,5;e;-0,3;e
;Februar;76,6;e;2,0;e;0,5;e
;März;76,6;e;2,0;e;-;
;April;76,9;e;2,4;e;0,4;e
;Mai;77,2;e;2,8;e;0,4;e
;Juni;77,3;e;2,5;e;0,1;e
;Juli;77,4;e;2,1;e;0,1;e
;August;77,2;e;2,1;e;-0,3;e
;September;77,2;e;1,8;e;-;
;Oktober;77,1;e;1,8;e;-0,1;e
;November;76,9;e;1,5;e;-0,3;e
;Dezember;77,7;e;1,7;e;1,0;e
2002;Januar;77,7;e;2,0;e;-;
;Februar;78,0;e;1,8;e;0,4;e
;März;78,2;e;2,1;e;0,3;e
;April;78,1;e;1,6;e;-0,1;e
;Mai;78,2;e;1,3;e;0,1;e
;Juni;78,2;e;1,2;e;-;
;Juli;78,3;e;1,2;e;0,1;e
;August;78,2;e;1,3;e;-0,1;e
;September;78,2;e;1,3;e;-;
;Oktober;78,1;e;1,3;e;-0,1;e
;November;77,8;e;1,2;e;-0,4;e
;Dezember;78,5;e;1,0;e;0,9;e
2003;Januar;78,5;e;1,0;e;-;
;Februar;79,0;e;1,3;e;0,6;e
;März;79,0;e;1,0;e;-;
;April;78,8;e;0,9;e;-0,3;e
;Mai;78,6;e;0,5;e;-0,3;e
;Juni;78,9;e;0,9;e;0,4;e
