"Date","Price","Open","High","Low","Vol.","Change %"
"11/22/2024","63.73","64.25","64.45","63.65","10.01M","-0.05%"
"11/21/2024","63.76","63.15","63.81","62.95","17.29M","1.22%"
"11/20/2024","62.99","62.70","63.01","62.02","18.90M","0.64%"
"11/19/2024","62.59","61.90","62.62","61.63","16.25M","1.18%"
"11/18/2024","61.86","61.85","62.14","61.56","16.08M","0.19%"
"11/15/2024","61.74","62.49","62.63","61.39","26.28M","-1.29%"
"11/14/2024","62.55","63.11","63.11","62.43","15.91M","-0.71%"
"11/13/2024","63.00","63.05","63.26","62.49","13.18M","-0.32%"
"11/12/2024","63.20","63.68","63.75","63.12","15.02M","-0.25%"
"11/11/2024","63.36","63.99","64.12","63.25","13.98M","-0.88%"
"11/08/2024","63.92","63.91","64.24","63.74","14.72M","0.41%"
"11/07/2024","63.66","64.29","64.39","63.60","14.86M","-0.06%"
"11/06/2024","63.70","64.42","64.86","63.18","22.90M","-2.55%"
"11/05/2024","65.37","64.64","65.47","64.64","8.78M","0.40%"
"11/04/2024","65.11","65.08","65.42","64.65","10.98M","0.15%"
"11/01/2024","65.01","65.47","65.66","64.89","12.16M","-0.46%"
"10/31/2024","65.31","65.81","65.99","65.25","13.38M","-0.93%"
"10/30/2024","65.92","65.51","66.54","65.32","14.18M","0.55%"
"10/29/2024","65.56","66.29","66.34","65.52","16.53M","-1.66%"
"10/28/2024","66.67","66.96","67.39","66.60","10.76M","-0.37%"
"10/25/2024","66.92","67.07","67.70","66.79","11.14M","-0.56%"
"10/24/2024","67.30","67.65","68.04","66.95","17.57M","-1.04%"
"10/23/2024","68.01","66.99","68.70","66.58","24.66M","-2.07%"
"10/22/2024","69.45","69.00","69.75","68.68","18.60M","0.00%"
"10/21/2024","69.45","70.00","70.32","69.31","11.98M","-1.41%"
"10/18/2024","70.44","69.87","70.55","69.61","15.09M","0.77%"
"10/17/2024","69.90","70.63","70.69","69.58","14.67M","-0.95%"
"10/16/2024","70.57","70.09","70.70","69.97","7.94M","0.33%"
"10/15/2024","70.34","70.46","71.21","70.16","10.36M","0.00%"
"10/14/2024","70.34","69.57","70.47","69.47","7.66M","1.11%"
"10/11/2024","69.57","69.46","69.59","69.00","8.79M","0.46%"
"10/10/2024","69.25","69.83","69.91","68.99","8.64M","-0.46%"
"10/09/2024","69.57","69.19","69.74","69.07","9.04M","0.56%"
"10/08/2024","69.18","69.04","69.44","68.86","13.55M","0.25%"
"10/07/2024","69.01","70.05","70.10","68.87","14.51M","-1.65%"
"10/04/2024","70.17","69.96","70.28","69.72","12.69M","-0.50%"
"10/03/2024","70.52","70.86","70.99","70.20","9.37M","-0.69%"
