Date,Value1,Value2,Value3,Value4,Value5
2024-10-01,6.0,6.2,5.8,4.8,6.5
2024-09-01,6.0,6.2,5.8,4.9,6.5
2024-08-01,6.1,6.3,6.0,5.5,6.7
2024-07-01,6.0,-,5.8,4.3,6.5
2024-06-01,5.8,6.1,5.6,3.8,6.3
2024-05-01,5.8,6.0,5.6,3.8,6.3
2024-04-01,6.0,6.2,5.7,4.0,6.5
2024-03-01,6.0,6.3,5.7,4.1,6.5
2024-02-01,6.1,6.4,5.8,4.2,6.6
2024-01-01,6.1,6.3,5.8,4.1,6.6
2023-12-01,5.7,5.9,5.5,4.1,6.2
2023-11-01,5.6,5.8,5.5,4.2,6.1
2023-10-01,5.7,5.7,5.5,4.4,6.1
2023-09-01,5.7,5.8,5.6,4.5,6.2
2023-08-01,5.8,5.9,5.8,5.1,6.4
2023-07-01,5.7,5.8,5.6,3.9,6.2
2023-06-01,5.5,5.7,5.4,3.5,6.0
2023-05-01,5.5,5.6,5.4,3.5,6.0
2023-04-01,5.7,5.8,5.5,3.9,6.2
2023-03-01,5.7,5.8,5.5,4.0,6.2
2023-02-01,5.7,5.9,5.5,4.0,6.2
2023-01-01,5.7,5.9,5.6,4.0,6.2
2022-12-01,5.4,5.5,5.3,4.0,5.8
2022-11-01,5.3,5.4,5.3,4.1,5.8
2022-10-01,5.3,5.3,5.4,4.3,5.8
2022-09-01,5.4,5.4,5.5,4.7,5.9
2022-08-01,5.6,5.5,5.7,5.2,6.1
2022-07-01,5.4,5.4,5.4,4.1,5.9
2022-06-01,5.2,5.2,5.1,3.5,5.6
2022-05-01,4.9,5.2,4.7,2.9,5.4
2022-04-01,5.0,5.3,4.8,2.9,5.5
2022-03-01,5.1,5.4,4.8,3.0,5.7
2022-02-01,5.3,5.6,4.9,3.1,5.8
2022-01-01,5.4,5.7,5.0,3.1,5.9
2021-12-01,5.1,5.3,4.8,3.1,5.6
2021-11-01,5.1,5.2,4.9,3.2,5.5
2021-10-01,5.2,5.3,5.0,3.4,5.7
2021-09-01,5.4,5.5,5.2,3.7,5.9
2021-08-01,5.6,5.8,5.5,4.4,6.2
2021-07-01,5.6,5.8,5.4,3.5,6.2
2021-06-01,5.7,5.9,5.4,3.2,6.3
2021-05-01,5.9,6.1,5.5,3.3,6.4
2021-04-01,6.0,6.4,5.7,3.3,6.6
2021-03-01,6.2,6.6,5.7,3.5,6.8
2021-02-01,6.3,6.8,5.8,3.6,7.0
2021-01-01,6.3,6.8,5.8,3.5,7.0
2020-12-01,5.9,6.3,5.5,3.5,6.5
2020-11-01,5.9,6.2,5.5,3.6,6.5
2020-10-01,6.0,6.3,5.7,3.9,6.6
2020-09-01,6.2,6.5,5.8,4.3,6.8
2020-08-01,6.4,6.8,6.1,4.9,7.1
2020-07-01,6.3,6.7,5.9,4.0,7.0
2020-06-01,6.2,6.6,5.8,3.7,6.8
2020-05-01,6.1,6.5,5.7,3.7,6.7
2020-04-01,5.8,6.2,5.4,3.5,6.4
2020-03-01,5.1,5.5,4.7,3.1,5.7
2020-02-01,5.3,5.7,4.8,3.2,5.8
2020-01-01,5.3,5.7,4.9,3.2,5.9
2019-12-01,4.9,5.2,4.6,3.1,5.4
2019-11-01,4.8,5.0,4.5,3.2,5.3
2019-10-01,4.8,5.0,4.6,3.3,5.3
2019-09-01,4.9,5.1,4.7,3.6,5.4
2019-08-01,5.1,5.3,4.9,4.2,5.6
2019-07-01,5.0,5.2,4.8,3.5,5.5
2019-06-01,4.9,5.1,4.6,2.9,5.4
2019-05-01,4.9,5.1,4.6,2.9,5.4
2019-04-01,4.9,5.2,4.6,3.0,5.5
2019-03-01,5.1,5.4,4.7,3.1,5.6
2019-02-01,5.3,5.6,4.8,3.2,5.8
2019-01-01,5.3,5.7,4.9,3.1,5.9
