"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","19,240.15","19,063.95","19,296.25","19,063.95","1.02B","0.85%"
"10/01/2024","19,077.54","19,409.39","19,674.68","18,911.72","1.22B","-1.28%"
"09/01/2024","19,324.93","18,913.53","19,491.93","18,208.84","1.39B","2.21%"
"08/01/2024","18,906.92","18,404.95","18,971.75","17,021.65","95.58M","2.15%"
"07/01/2024","18,508.65","18,419.75","18,781.45","18,023.45","62.45M","1.50%"
"06/01/2024","18,235.45","18,658.85","18,786.35","17,949.85","64.59M","-1.42%"
"05/01/2024","18,497.94","17,919.75","18,890.05","17,874.85","144.01M","3.16%"
"04/01/2024","17,932.17","18,119.93","18,153.69","17,920.72","88.21M","-3.03%"
"03/01/2024","18,492.49","17,795.15","18,514.65","17,619.45","75.72M","4.61%"
"02/01/2024","17,678.19","16,834.13","17,742.48","16,821.60","1.47B","4.58%"
"01/01/2024","16,903.76","16,828.75","16,999.58","16,345.02","1.47B","0.91%"
"12/01/2023","16,751.64","16,296.92","17,003.28","16,279.45","1.32B","3.31%"
"11/01/2023","16,215.43","14,851.96","16,262.96","14,786.32","1.62B","9.49%"
"10/01/2023","14,810.34","15,439.96","15,575.28","14,630.21","1.51B","-3.75%"
"09/01/2023","15,386.58","15,936.34","15,989.30","15,138.66","1.48B","-3.51%"
"08/01/2023","15,947.08","16,414.79","16,430.66","15,468.65","1.35B","-3.04%"
"07/01/2023","16,446.83","16,187.91","16,528.97","15,456.16","1.34B","1.85%"
"06/01/2023","16,147.90","15,744.01","16,427.42","15,713.70","1.66B","3.09%"
"05/01/2023","15,664.02","15,950.36","16,331.94","15,629.12","1.52B","-1.62%"
"04/01/2023","15,922.38","15,623.45","15,922.38","15,482.88","1.23B","1.88%"
"03/01/2023","15,628.84","15,399.91","15,706.37","14,458.39","2.33B","1.72%"
"02/01/2023","15,365.14","15,125.12","15,658.56","15,107.83","1.32B","1.57%"
"01/01/2023","15,128.27","13,992.71","15,269.71","13,976.44","1.26B","8.65%"
"12/01/2022","13,923.59","14,543.80","14,675.84","13,791.52","1.13B","-3.29%"
"11/01/2022","14,397.04","13,344.85","14,571.66","13,022.64","1.46B","8.63%"
"10/01/2022","13,253.74","11,951.84","13,307.09","11,893.94","1.40B","9.41%"
"09/01/2022","12,114.36","12,713.75","13,564.83","11,862.84","1.61B","-5.61%"
"08/01/2022","12,834.96","13,471.20","13,947.85","12,758.44","1.31B","-4.81%"
"07/01/2022","13,484.05","12,627.66","13,515.03","12,390.95","1.52B","5.48%"
"06/01/2022","12,783.77","14,478.37","14,709.38","12,618.68","1.72B","-11.15%"
"05/01/2022","14,388.35","13,996.82","14,589.45","13,380.67","1.80B","2.06%"
"04/01/2022","14,097.88","14,447.78","14,603.44","13,566.20","1.65B","-2.20%"
"03/01/2022","14,414.75","14,404.22","14,925.25","12,438.85","2.77B","-0.32%"
"02/01/2022","14,461.02","15,620.56","15,736.52","13,807.28","2.03B","-6.53%"
"01/01/2022","15,471.20","15,947.44","16,285.35","14,952.67","1.66B","-2.60%"
"12/01/2021","15,884.86","15,233.37","15,974.79","15,060.10","1.35B","5.20%"
"11/01/2021","15,100.13","15,764.55","16,290.19","15,015.42","1.64B","-3.75%"
"10/01/2021","15,688.77","15,041.60","15,781.00","14,818.71","1.35B","2.81%"
"09/01/2021","15,260.69","15,958.41","15,981.70","15,019.49","1.34B","-3.63%"
"08/01/2021","15,835.09","15,631.70","16,030.33","15,492.58","1.03B","1.87%"
"07/01/2021","15,544.39","15,624.28","15,810.68","15,048.56","1.21B","0.09%"
"06/01/2021","15,531.04","15,513.13","15,802.67","15,309.44","1.23B","0.71%"
"05/01/2021","15,421.13","15,191.79","15,568.60","14,816.35","1.44B","1.88%"
"04/01/2021","15,135.91","15,053.77","15,501.84","15,032.52","1.32B","0.85%"
"03/01/2021","15,008.34","13,962.43","15,029.70","13,868.20","1.94B","8.86%"
"02/01/2021","13,786.29","13,559.94","14,169.49","13,518.45","1.44B","2.63%"
"01/01/2021","13,432.87","13,890.22","14,131.52","13,310.95","1.56B","-2.08%"
"12/01/2020","13,718.78","13,371.66","13,903.11","13,009.48","1.36B","3.22%"
"11/01/2020","13,291.16","11,602.91","13,445.11","11,551.36","1.83B","15.01%"
"10/01/2020","11,556.48","12,812.08","13,151.80","11,450.08","1.56B","-9.44%"
"09/01/2020","12,760.73","13,037.20","13,460.46","12,341.58","1.62B","-1.43%"
"08/01/2020","12,945.38","12,374.46","13,221.82","12,365.61","1.26B","5.13%"
"07/01/2020","12,313.36","12,391.72","13,313.90","12,095.11","1.71B","0.02%"
"06/01/2020","12,310.93","11,896.70","12,913.13","11,597.82","2.75B","6.25%"
"05/01/2020","11,586.85","10,543.36","11,813.14","10,160.89","2.22B","6.68%"
"04/01/2020","10,861.64","9,610.67","11,235.57","9,337.02","2.51B","9.32%"
"03/01/2020","9,935.84","12,030.27","12,272.99","8,255.65","4.83B","-16.44%"
"02/01/2020","11,890.35","13,033.17","13,795.24","11,724.12","2.23B","-8.41%"
"01/01/2020","12,981.97","13,233.71","13,640.06","12,948.17","1.74B","-2.02%"
"12/01/2019","13,249.01","13,264.93","13,425.85","12,886.55","1.37B","0.10%"
"11/01/2019","13,236.38","12,912.09","13,374.27","12,896.72","1.60B","2.87%"
"10/01/2019","12,866.79","12,469.67","12,986.49","11,878.98","1.84B","3.53%"
"09/01/2019","12,428.08","11,939.99","12,494.25","11,869.28","1.75B","4.09%"
"08/01/2019","11,939.28","12,134.71","12,254.03","11,266.48","2.02B","-2.05%"
