
"Date"; "in Mrd "; "in % gg Vorjahr"; "in Mrd "; "in % gg Vorjahr"
1980;1838.1;+1.4;886.4;+6.9
1981;1847.8;+0.5;928.3;+4.7
1982;1840.5;-0.4;967.0;+4.2
1983;1869.5;+1.6;1009.8;+4.4
1984;1922.2;+2.8;1059.0;+4.9
1985;1967.0;+2.3;1106.7;+4.5
1986;2012.0;+2.3;1165.9;+5.4
1987;2040.2;+1.4;1197.4;+2.7
1988;2115.8;+3.7;1262.8;+5.5
1989;2198.3;+3.9;1349.8;+6.9
1990;2313.8;+5.3;1468.9;+8.8
1991;2432.0;+5.1;1591.6;+8.4
1992;2481.0;+2.0;1709.9;+7.4
1993;2456.8;-1.0;1757.3;+2.8
1994;2520.6;+2.6;1838.0;+4.6
1995;2558.6;+1.5;1899.9;+3.4
1996;2585.1;+1.0;1928.6;+1.5
1997;2633.1;+1.9;1967.2;+2.0
1998;2688.3;+2.1;2022.3;+2.8
1999;2745.6;+2.1;2077.2;+2.7
2000;2824.5;+2.9;2129.7;+2.5
2001;2870.8;+1.6;2195.5;+3.1
2002;2864.2;-0.2;2223.4;+1.3
2003;2849.0;-0.5;2240.8;+0.8
2004;2882.2;+1.2;2293.0;+2.3
2005;2907.7;+0.9;2325.7;+1.4
2006;3019.8;+3.9;2426.2;+4.3
2007;3107.1;+2.9;2542.2;+4.8
2008;3135.4;+0.9;2589.7;+1.9
2009;2961.5;-5.5;2494.9;-3.7
2010;3084.3;+4.1;2616.1;+4.9
2011;3200.2;+3.8;2747.8;+5.0
2012;3215.4;+0.5;2800.4;+1.9
2013;3227.8;+0.4;2867.3;+2.4
2014;3297.8;+2.2;2985.2;+4.1
2015;3352.3;+1.7;3085.7;+3.4
2016;3429.3;+2.3;3196.1;+3.6
2017;3522.4;+2.7;3331.1;+4.2
2018;3561.7;+1.1;3431.1;+3.0
2019;3596.9;+1.0;3534.9;+3.0
2020;3449.6;-4.1;3449.6;-2.4
2021;3576.2;+3.7;3676.5;+6.6
2022;3625.2;+1.4;3953.9;+7.5
2023;3615.5;-0.3;4185.6;+5.9
2024;3610.0;-0.2;4310.6;+3.0
2025;3648.1;+1.1;4440.2;+3.0
2026;3708.1;+1.6;4595.2;+3.5
2027;3743.1;+0.9;4729.1;+2.9
2028;3778.5;+0.9;4866.9;+2.9
2029;3814.2;+0.9;5008.7;+2.9
